"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned","CatchOnly.aligned","CatchOnly.misaligned"
"1205",0.6,0.6,0.2,0.2,0.6,0.7
"1206",0.4,0,0.6,0.6,1,0.8
"1207",0.2,0.6,0.8,0.8,1,0.8
"1208",0.6,0.2,0.6,1,0.8,0.8
"1209",0.6,0.2,0.6,0.8,0.9,1
"1210",0.6,0.6,0.4,0.2,0.8,0.9
"1211",0.6,0.6,0.8,0.4,1,1
"1212",0.6,0.6,0.4,0.8,0.7,0.9
"1214",0.8,0.6,1,1,1,0.9
"1215",0.4,1,0.8,0.6,0.9,0.6
"1216",0.8,0.2,0.6,0.8,0.8,0.9
"1217",0.4,0.6,0.8,0.6,0.9,0.7
"1218",1,0.8,1,0.8,0.9,0.9
"1219",0.4,0.6,0.6,0.2,0.9,0.7
"1220",0.8,0.8,0.4,0.8,1,0.8
"1221",0.6,0.4,0.4,0.6,0.6,0.5
"1222",1,0.6,0.6,0.8,0.7,0.8
"1223",0.6,0.4,0.6,0.6,1,0.6
"1224",0.6,0.4,0.4,0.6,0.9,0.9
"1225",0.6,0.8,0.8,0.2,1,0.9
"1226",0.8,0.6,0.2,0.2,1,0.9
"1227",0.6,0.6,0.6,0.4,0.8,0.6
"1228",0.6,0.8,0.6,0.2,0.8,0.6
"1229",0.6,0.6,0.4,0.2,0.7,1
"1230",0.2,0.4,0.8,0.4,0.7,0.777777777777778
"1231",0.6,0.6,0.4,0.4,0.7,0.7
"1232",1,0.4,0.6,0.6,0.6,0.6
"1233",0.6,0.4,1,0.8,0.7,0.8
"1234",0.2,0.4,0.4,0.6,0.9,0.9
"1235",0.8,0.6,0.8,0.4,1,0.7
