Participant,Con_Aligned,CFE_CFS,CFE_mono,CFS.aligned,CFS.misaligned,monocular.aligned,monocular.misaligned,CatchOnly.aligned,CatchOnly.misaligned,CFS.aligned.50
1205,0.28101836313331985,0.7755226097087835,0,0.6,0.6,0.2,0.2,0.6,0.7,0.09999999999999998
1206,0.6084202374576821,0.8578063079823344,0.444631295280165,0.4,0,0.6,0.6,1,0.8,-0.09999999999999998
1207,0.07335961333443763,0.4660197614895918,1.8759662526888192,0.2,0.6,0.8,0.8,1,0.8,-0.3
1208,-0.9598511620603456,-0.5204325136015977,1.8890857826891434,0.6,0.2,0.6,1,0.8,0.8,0.09999999999999998
1209,-0.9598511620603456,-2.358271519380311,0.6302207151771642,0.6,0.2,0.6,0.8,0.9,1,0.09999999999999998
1210,0.02935808674828344,-0.7068345161558423,0.42142926217432763,0.6,0.6,0.4,0.2,0.8,0.9,0.09999999999999998
1211,0.8779878437183677,1.1930982013069498,1.2963755032419542,0.6,0.6,0.8,0.4,1,1,0.09999999999999998
1212,0.7102643358779916,0.46872120933434536,1.6673423357673598,0.6,0.6,0.4,0.8,0.7,0.9,0.09999999999999998
1214,-0.07611658705187718,0.2389937705367049,1.1671699342808157,0.8,0.6,1,1,1,0.9,0.30000000000000004
1215,0.9598511620603456,1.5821277740822528,0.6310701683762923,0.4,1,0.8,0.6,0.9,0.6,-0.09999999999999998
1216,0.24511817605081143,-0.5581142173277458,-0.20688404838278407,0.8,0.2,0.6,0.8,0.8,0.9,0.30000000000000004
1217,0.8096146041640457,1.6451574753542255,1.588452935254061,0.4,0.6,0.8,0.6,0.9,0.7,-0.09999999999999998
1218,-0.3046724242990697,-1.9066154383407867,0.4762508989857679,1,0.8,1,0.8,0.9,0.9,0.5
1219,0.20532215601301562,1.2963755032419542,0.2814387430648928,0.4,0.6,0.6,0.2,0.9,0.7,-0.09999999999999998
1220,0.8018712566664905,0.4385691952596198,0.6516346987701906,0.8,0.8,0.4,0.8,1,0.8,0.30000000000000004
1221,0.49450424657546366,1.5517308569245765,2.113113667612491,0.6,0.4,0.4,0.6,0.6,0.5,0.09999999999999998
1222,0,-0.6337497215529573,0.5084310483714687,1,0.6,0.6,0.8,0.7,0.8,0.5
1223,0.7863809229298688,0.1898318222763944,0.746584902892073,0.6,0.4,0.6,0.6,1,0.6,0.09999999999999998
1224,-0.4017369447325998,0.12481997438310444,0.7759886229419215,0.6,0.4,0.4,0.6,0.9,0.9,0.09999999999999998
1225,0.10978820157556646,0.3989702921380145,1.5564002627138205,0.6,0.8,0.8,0.2,1,0.9,0.09999999999999998
1226,0.8641099423888026,0.09949131618090501,1.8358322412533554,0.8,0.6,0.2,0.2,1,0.9,0.30000000000000004
1227,1.0910533472289385,0.7018230187959338,0.002694585791957138,0.6,0.6,0.6,0.4,0.8,0.6,0.09999999999999998
1228,-0.6983931990737844,-0.4169544560088916,1.5070613958872054,0.6,0.8,0.6,0.2,0.8,0.6,0.09999999999999998
1229,-0.7571510528365601,-0.45247862853749043,0.5765683205751433,0.6,0.6,0.4,0.2,0.7,1,0.09999999999999998
1230,0.39105541222666584,-0.14873809140285776,1.1134305548675476,0.2,0.4,0.8,0.4,0.7,0.7777777777777778,-0.3
1231,0.687955265784272,1.003065623372854,0.10681156914398349,0.6,0.6,0.4,0.4,0.7,0.7,0.09999999999999998
1232,0.14109347915000825,0.5778691415461026,0.31727030201642203,1,0.4,0.6,0.6,0.6,0.6,0.5
1233,-0.11391599088221849,-0.11391599088221849,-0.23848208702376628,0.6,0.4,1,0.8,0.7,0.8,0.09999999999999998
1234,1.2749615196489277,1.666188464289387,-0.2878209538503813,0.2,0.4,0.4,0.6,0.9,0.9,-0.3
1235,-0.25064313904502766,-0.04532098303201204,1.9428129586966962,0.8,0.6,0.8,0.4,1,0.7,0.30000000000000004
