ExpCode,Participant,CFS_Cover,WithCatch,CFS.aligned,CFS.misaligned,monocular.aligned,monocular.misaligned
E1,603,both,0,720.6848134615384,700.7867737105263,651.7308877692308,649.3257725999999
E1,604,both,0,807.4658962162162,807.5550825142857,826.038442051282,859.06472725
E1,605,both,0,686.5509777187499,694.3126765555555,768.9022028787879,753.8429428947368
E1,606,both,0,801.1580253888889,853.6807634054054,829.6375403103448,826.2584273243243
E1,607,both,0,819.3879984848485,860.9121608214285,843.1164226551723,799.4566816333333
E1,608,both,0,667.7405041562499,696.905165,681.6965789629629,718.5256224571428
E1,609,both,0,1431.8014269999999,1133.9412320588235,1137.343409,1312.8091370333334
E1,610,both,0,814.9609420769231,774.6192339166666,977.6368868157895,896.3237720999999
E1,611,both,0,654.2858372258064,663.4514463030303,768.9166251935484,687.4866637499999
E1,612,both,0,734.7718738260869,742.3462481034483,843.3493965909091,779.90647590625
E1,613,both,0,888.3758340789474,943.3246982352941,878.2754630967742,904.0191427297297
E1,614,both,0,951.119645,916.8169328285715,889.316685725,806.0684312432431
E1,615,both,0,1110.4551256944444,1071.273608027027,1109.956903,1009.2314637948718
E1,616,both,0,765.9901875588234,711.2203121081081,765.7446872424242,817.9073826111112
E1,617,both,0,771.6257383,775.0284849090908,744.8153369473685,745.0439023421053
E1,618,both,0,898.230891,857.4685391081081,1086.1631882903225,1002.6754881388889
E1,619,both,0,866.694370945946,789.3381105151516,778.878067945946,781.1571034054055
E1,620,both,0,763.2254479310345,727.9117358823529,918.6496411379311,936.5114143636364
E1,621,both,0,984.0484036060606,956.4964766969697,964.2913735483871,898.2744511142856
E1,622,both,0,867.9899126486487,815.3932680789474,895.9562998461538,905.8318166486486
E2,8201,both,1,761.4879362121212,806.8402242972973,951.7743581,743.493028625
E2,8202,both,1,702.0417564615384,708.8474181515152,877.0327592058824,856.4784256363637
E2,8203,both,1,912.1465825882353,881.2451911176471,806.5166393714286,822.2225851081081
E2,8204,both,1,497.4105976875,530.1969057352941,540.2560275666667,514.3615207837838
E2,8205,both,1,761.0252556388889,726.7282920833334,682.7759981578947,656.8922860789473
E2,8206,both,1,599.6484675135135,554.9424312051282,759.1188256,672.271529974359
E2,8207,both,1,767.8650403783784,769.1520458611111,748.9951704545455,715.6268432631579
E2,8208,both,1,466.2848086363636,536.2278486944444,787.9139349696969,672.4137051621622
E2,8209,both,1,651.77197875,563.2180073589743,614.0235801111112,518.2855981
E2,8210,both,1,849.4368071111112,702.9194980344827,736.1881180645161,567.3206034117648
E2,8212,both,1,929.8320307272727,756.7739624117646,1063.480987,1017.0434594999999
E2,8213,both,1,722.6684650000001,608.4440455428571,719.2036957575758,711.4859885555555
E2,8214,both,1,476.4423493243243,567.0013166923077,621.218310131579,643.0980245135135
E2,8215,both,1,949.3674663235295,894.2008884545455,1032.6647853225807,1073.5910089142858
E2,8216,both,1,579.1110008823529,578.4787766571428,772.2501784864864,796.566311972973
E2,8217,both,1,558.6069399333334,568.4547184999999,508.516496,471.79044844444445
E2,8218,both,1,855.909391875,790.7742546874999,770.5032202727273,694.8509577894737
E2,8221,both,1,630.7780741666667,623.2168159722222,589.3630488157895,566.2053812162162
E2,8222,both,1,622.2538503000001,595.8685950263158,1015.7450886176471,741.5755241052632
E2,8223,both,1,856.5449971764706,899.8277803235294,911.3920538055555,765.3911752647059
E2,8224,both,1,685.3085388787879,628.7218196470589,793.1851999696969,684.7865064444444
E2,8225,both,1,654.5376189729731,628.9710938947368,661.6493090263158,510.2444500263158
E2,8226,both,1,582.8856288,506.9395636296297,600.0148833461539,498.7403692333333
E2,8227,both,1,850.4903817575757,832.3539197272727,754.0297876285714,717.1305265999999
E2,8228,both,1,517.4757554102564,566.3478501891892,630.3122989230769,667.6183762564103
E2,8229,both,1,856.3161279428572,763.3572852,659.1266230277778,661.4569926315789
E2,8230,both,1,979.7768065641026,909.9859273513513,750.7182701794871,798.8302904871795
E2,8231,both,1,814.4790839210526,751.3636852727273,756.2956838974359,628.0613935
E2,8233,both,1,568.703289117647,522.3043438857144,487.80961866666667,467.3610123030303
E2,8234,both,1,728.8932033611111,696.2655014210526,717.4792982941176,701.2428800833334
