"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"1205",560.285106238507,615.389796207474,560.477955822234,549.889915234811
"1206",1044.5818833313,1047.48800713033,773.250319933996,810.422058612367
"1207",861.908128062185,866.511886598001,1099.51940657104,847.218909097719
"1208",606.595276962073,609.889660762618,750.564021583,645.273829774528
"1209",799.571914141619,839.17970046657,612.572273548369,598.112328232409
"1210",779.255719554054,805.94905374889,755.552199992625,836.948835665781
"1211",739.938956427212,641.961089641222,579.729155813539,473.706626107696
"1212",585.541777088062,575.289111596365,826.117986784652,703.633238899685
"1214",635.64499670174,657.47314922268,750.567388434885,687.400587539014
"1215",535.18850667003,469.648356045127,519.512043613941,450.793189638017
"1216",635.282371773107,641.611391527931,696.84616203021,658.509365914249
"1217",747.406738737066,751.947954800639,698.958501556017,718.725382983394
"1218",567.008758563746,537.113901255294,628.732817071858,664.658795104325
"1219",650.345128308496,619.635149406177,468.167577837547,494.887328570304
"1220",536.90829772596,505.039376649764,718.245819607054,645.106096948439
"1221",723.196505324107,739.978009323074,791.354933483646,673.818150606368
"1222",849.697656018335,1076.68751328573,1070.23322406594,924.476869911552
"1223",744.818697907109,758.133005952864,743.667138048821,692.617272594656
"1224",461.658295239408,437.538595280967,573.04389349264,519.456951992221
"1225",758.337260124742,691.090387818042,584.136293993652,514.068475288252
"1226",667.182717382704,567.505711920315,591.567143619618,622.559406674124
"1227",561.239584189908,574.719208252567,550.411178220272,547.998426941615
"1228",949.41941180027,926.594522304333,758.870574943701,785.328305950797
"1229",540.411898821124,627.448433784042,463.474490275985,461.10566135498
"1230",639.523830250948,579.071283432784,665.119674818529,696.699874989766
"1231",588.864145086248,541.170382977627,499.597751790694,439.847808923514
"1232",922.425534318039,691.568756540073,1305.29487858294,1032.69724943857
"1233",899.600641680388,982.12393875367,811.677815661954,795.690375331209
"1234",771.587876305406,708.308692473206,858.558995856922,795.937951206617
"1235",658.855354226164,600.371804293073,564.715121582594,463.223366672345
